0x14D3, 3570, 3:304:549, 612, 745.859, 747, 6838, 16876, 11361, 16875, 7678, 64, -87.552, -90.158, 0x37C
0x15B2, 5728, 5:022:040, 1032, 740.203, 744, 5512, 1515, 2197, 12581, 4747, 72, -94.925, -106.727, 0x3CC
0x1639, 6709, 3:463:614, 997, 749.406, 751, 4607, 7143, 5465, 7142, 2448, 52, -96.349, -101.376, 0x2CC
0x14D3, 3528, 3:475:741, 578, 746.125, 747, 103, 9090, 17352, 17351, 8058, 80, -86.258, -91.861, 0x436
0x15B2, 5747, 5:193:231, 1032, 741.531, 745, 4320, 1937, 1587, 11434, 4653, 64, -94.838, -108.954, 0x36D
0x1639, 6727, 3:634:806, 1029, 743.359, 745, 5091, 7418, 5831, 7417, 2787, 56, -96.638, -101.616, 0x2F8
0x14D3, 3509, 3:646:932, 737, 746.234, 750, 5273, 16580, 17557, 18255, 10985, 92, -87.493, -91.770, 0x4E4
0x15B2, 5770, 5:364:422, 1033, 742.796, 747, 2614, 2072, 1296, 12351, 4796, 52, -94.961, -110.052, 0x2D6
0x1639, 6727, 3:805:998, 1029, 745.062, 746, 3499, 7088, 7309, 7308, 2821, 56, -96.690, -101.652, 0x303
0x14D3, 3532, 3:818:124, 669, 746.906, 748, 8828, 18582, 12106, 18581, 9470, 88, -87.690, -90.308, 0x4AF
0x15B2, 5728, 5:535:613, 1030, 744.109, 748, 6932, 1903, 2287, 12716, 4732, 60, -94.928, -104.554, 0x335
0x1639, 6774, 3:977:189, 968, 746.765, 748, 5847, 7313, 4898, 7312, 2435, 44, -96.582, -100.021, 0x26C
0x14D3, 3204, 3:989:316, 576, 744.843, 748, 10591, 4139, 2601, 16782, 8293, 84, -86.413, -95.389, 0x461
0x15B2, 5700, 5:706:804, 1034, 745.296, 749, 5142, 1688, 1963, 12401, 4777, 60, -94.936, -106.173, 0x337
0x1639, 6681, 4:148:381, 1031, 748.265, 750, 4955, 7581, 6454, 7580, 2709, 56, -96.498, -101.917, 0x303
0x14D3, 3495, 4:160:508, 762, 747.203, 748, 146, 17872, 17876, 17875, 10920, 100, -87.178, -91.675, 0x54B
0x15B2, 5723, 5:877:996, 1031, 746.515, 750, 3896, 1982, 1680, 10722, 4642, 56, -94.836, -108.405, 0x302
0x1639, 6756, 4:319:573, 935, 749.843, 751, 5303, 6976, 4535, 6975, 2255, 44, -96.550, -101.727, 0x25F
0x14D3, 3561, 4:331:700, 673, 747.953, 749, 6294, 18280, 12141, 18279, 8462, 84, -87.149, -91.869, 0x480
0x15B2, 5766, 6:049:187, 1031, 748.125, 752, 7286, 1661, 2248, 12846, 4743, 56, -94.930, -104.840, 0x308
0x1639, 6751, 4:490:765, 1031, 744.031, 745, 3098, 6862, 7387, 7386, 2812, 56, -96.660, -101.457, 0x307
0x14D3, 3504, 4:502:892, 658, 748.062, 749, 101, 10077, 18083, 18082, 8957, 84, -87.592, -91.215, 0x47D
0x15B2, 5747, 6:220:378, 1031, 741.312, 745, 5469, 1755, 1927, 10799, 4613, 64, -94.809, -106.641, 0x366
0x1639, 6756, 4:661:957, 999, 745.546, 747, 5124, 7330, 5313, 7329, 2542, 44, -96.495, -101.611, 0x26A
0x14D3, 3279, 4:674:083, 633, 746.984, 750, 15489, 6401, 3896, 17724, 10650, 84, -86.680, -93.945, 0x465
0x15B2, 5723, 6:391:569, 1032, 742.796, 747, 3126, 2107, 1371, 10479, 4580, 60, -94.770, -109.052, 0x33E
0x1639, 6742, 4:833:148, 1030, 748.031, 749, 3276, 6985, 7546, 7545, 2815, 44, -96.673, -101.665, 0x264
0x14D3, 3523, 4:845:275, 639, 749.015, 750, 132, 8940, 17664, 17663, 8349, 80, -87.541, -91.082, 0x441
0x15B2, 5738, 6:562:761, 1032, 743.921, 748, 2539, 2066, 1190, 11162, 4628, 64, -94.815, -111.825, 0x372
0x1639, 6727, 5:004:340, 739, 749.593, 751, 3907, 6241, 4418, 6240, 1686, 32, -95.330, -100.563, 0x1BF
0x14D3, 3354, 5:016:467, 697, 749.171, 753, 89, 14212, 17211, 17872, 9769, 92, -87.468, -91.369, 0x4E0
0x15B2, 5775, 6:733:952, 1032, 744.968, 749, 2643, 2316, 1248, 12063, 4690, 52, -94.873, -110.418, 0x2D4
0x1639, 6723, 5:175:532, 1030, 744.078, 745, 3535, 6840, 7225, 7224, 2744, 48, -96.562, -101.475, 0x29A
0x14D3, 3546, 5:187:659, 653, 750.015, 751, 130, 8723, 18184, 18183, 8985, 76, -87.672, -91.055, 0x419
0x15B2, 5733, 6:905:143, 1033, 746.203, 750, 6736, 1785, 1820, 11794, 4650, 56, -94.827, -104.127, 0x30B
0x1639, 6727, 5:346:724, 998, 745.750, 747, 5577, 7244, 4928, 7243, 2492, 48, -96.417, -101.606, 0x297
